2024-06-06 16:35:08.044353: parameter 1, 2 < 1
2024-06-06 16:35:09.244016: parameter 1, 0 < 2
2024-06-06 16:35:10.359247: param 0, 3<2
2024-06-06 16:35:11.243145: parameter 0, 1 < 3
2024-06-06 16:35:12.295377: param 1, 3<2
2024-06-06 16:35:13.415251: parameter 1, 0 < 3
2024-06-06 16:35:14.377366: param 0, 4<2
2024-06-06 16:35:15.277730: parameter 0, 3 < 4
2024-06-06 16:35:16.213572: param 1, 4<2
2024-06-06 16:35:17.019449: parameter 1, 3 < 4
2024-06-06 16:35:18.064657: param 0, 5<4
2024-06-06 16:35:19.051604: parameter 0, 3 < 5
2024-06-06 16:35:20.001126: param 1, 5<4
2024-06-06 16:35:21.041334: parameter 1, 3 < 5
2024-06-06 16:35:22.030602: param 0, 6<4
2024-06-06 16:35:22.810861: param 0, 3<6
2024-06-06 16:35:23.691630: parameter 0, 6 < 5
2024-06-06 16:35:24.593610: param 1, 4<6
2024-06-06 16:35:25.371564: parameter 1, 6 < 1
2024-06-06 16:35:26.324620: parameter 1, 2 < 6
2024-06-06 16:35:27.261165: param 0, 7<5
2024-06-06 16:35:28.310633: param 0, 3<7
2024-06-06 16:35:29.218036: parameter 0, 7 < 6
2024-06-06 16:35:30.124868: param 1, 4<7
2024-06-06 16:35:30.999699: param 1, 7<6
2024-06-06 16:35:31.740883: parameter 1, 2 < 7
2024-06-06 16:35:32.738109: param 0, 8<5
2024-06-06 16:35:33.672052: param 0, 7<8
2024-06-06 16:35:34.597658: parameter 0, 8 < 6
2024-06-06 16:35:35.500955: param 1, 2<8
2024-06-06 16:35:36.320667: param 1, 8<6
2024-06-06 16:35:37.304018: parameter 1, 7 < 8
2024-06-06 16:35:38.259245: param 0, 9<6
2024-06-06 16:35:39.159437: param 0, 7<9
2024-06-06 16:35:39.972017: parameter 0, 9 < 8
2024-06-06 16:35:40.909623: param 1, 2<9
2024-06-06 16:35:41.713650: param 1, 9<6
2024-06-06 16:35:42.569467: parameter 1, 8 < 9
2024-06-06 16:35:43.401121: param 0, 10<6
2024-06-06 16:35:44.261701: param 0, 7<10
2024-06-06 16:35:45.025399: parameter 0, 10 < 8
2024-06-06 16:35:45.791355: parameter 0, 9 < 10
2024-06-06 16:35:46.647768: param 1, 10<7
2024-06-06 16:35:47.464038: param 1, 5<10
2024-06-06 16:35:48.326064: parameter 1, 10 < 2
2024-06-06 16:35:49.408112: parameter 1, 4 < 10
2024-06-06 16:35:50.275275: param 0, 11<8
2024-06-06 16:35:51.068096: param 0, 7<11
2024-06-06 16:35:51.832009: parameter 0, 11 < 10
2024-06-06 16:35:52.561838: parameter 0, 9 < 11
2024-06-06 16:35:53.276176: param 1, 11<2
2024-06-06 16:35:53.954495: param 1, 5<11
2024-06-06 16:35:54.695628: parameter 1, 11 < 10
2024-06-06 16:35:55.442141: parameter 1, 4 < 11
2024-06-06 16:35:56.164302: param 0, 12<8
2024-06-06 16:35:56.949524: param 0, 9<12
2024-06-06 16:35:57.649204: parameter 0, 12 < 10
2024-06-06 16:35:58.412457: parameter 0, 11 < 12
2024-06-06 16:35:59.100426: param 1, 12<2
2024-06-06 16:35:59.813495: param 1, 4<12
2024-06-06 16:36:00.530232: parameter 1, 12 < 10
2024-06-06 16:36:01.118523: parameter 1, 11 < 12
2024-06-06 16:36:01.705604: param 0, 13<10
2024-06-06 16:36:03.501497: param 0, 13<9
2024-06-06 16:36:04.180562: param 0, 3<13
2024-06-06 16:36:04.805802: parameter 0, 13 < 7
2024-06-06 16:36:05.309605: param 1, 10<13
2024-06-06 16:36:06.541219: param 1, 13<9
2024-06-06 16:36:07.050366: param 1, 7<13
2024-06-06 16:36:07.645537: parameter 1, 13 < 8
2024-06-06 16:36:08.208976: param 0, 10<14
2024-06-06 16:36:09.060812: param 0, 14<4
2024-06-06 16:36:09.712800: param 0, 6<14
2024-06-06 16:36:10.338779: parameter 0, 14 < 5
2024-06-06 16:36:11.032026: param 1, 2<14
2024-06-06 16:36:11.760434: param 1, 14<9
2024-06-06 16:36:12.350689: param 1, 13<14
2024-06-06 16:36:12.970951: parameter 1, 14 < 8
2024-06-06 16:36:12.980659: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:36:13.001865: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:40:12.624844: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:40:12.641877: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:40:14.227960: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:40:14.245065: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:49:44.344953: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
2024-06-06 16:49:44.360190: Prioritization done. Final prioritized list: [2, 14, 6, 8, 4, 0, 10, 5, 9, 7, 1, 13, 12, 11, 3]
